PMID,PMCID,Sentences,Gene,Chemicals,interaction_type,Regulation
22834904,3517761," Finally, cytokines, especially IL-4 and IL-10 which are important for Th2 cell development, were reduced.;  In AD patients’ blood, IL-4 and IL-5 concentration from Th2 cells was increased and IL-4, IL-5 and IL-13 mRNA expression was significantly up-regulated in atopic skin lesions
[16,17]. However, recent studies reported that Th1 response also plays an important role in AD disease
[12]. In almost all chronic AD patients, up-regulation of the expression IFN-γ mRNA was also observed in atopic skin lesions, whereas only a few chronic AD patients had increases in the expression of IL-4 mRNA
[18,19]. Therefore, both Th1 and Th2 response contribute to the initiation and maintenance of AD.;  Levels of inflammatory cytokines (IL-1β, IL-6 and TNF-α)and Th cell development cytokines (IL-2, IL-4, IL-10 and IFN-γ) in the serum also were determined by ELISA.;  Interestingly, IL-4 and IL-10 expression from Th2 cells were reduced significantly in the 10% CDSW-treated group (Figure
​(Figure7B).7B).;  IL-2, IL-4, IL-10 and IFN-γ levels in serum were determined by ELISA as described in Methods.;  A) IL-2 and IFN-γ from Th1 lymphocytes and B) IL-4 and IL-10 from Th2 lymphocytes.; It was believed that inflammatory cytokines contribute to inflammation in skin lesions in AD
[15]. T-helper cells (CD4+), a type of white blood cell, play an important role in the immune system and have two subfamilies with distinct regulatory and influencing functions, based on their cytokines: Th1 lymphocyte and Th2 lymphocyte
[39]. Th1 lymphocytes produce IFN-γ and IL-2, while Th2 lymphocytes produce IL-4 and IL-10.;  Treatment of DNCB promoted Th2 cell responses, such as IL-4 and IL-10 production.;  Overexpressed IL-4 promotes the development of AD
[40]. In our experiments, production of IL-4 and IL-10 was reduced by 10% CDSW treatment, which led to reduced serum IgE levels.",IL-4,Fe,,up-regulated
22834904,3517761," Finally, cytokines, especially IL-4 and IL-10 which are important for Th2 cell development, were reduced.;  In AD patients’ blood, IL-4 and IL-5 concentration from Th2 cells was increased and IL-4, IL-5 and IL-13 mRNA expression was significantly up-regulated in atopic skin lesions
[16,17]. However, recent studies reported that Th1 response also plays an important role in AD disease
[12]. In almost all chronic AD patients, up-regulation of the expression IFN-γ mRNA was also observed in atopic skin lesions, whereas only a few chronic AD patients had increases in the expression of IL-4 mRNA
[18,19]. Therefore, both Th1 and Th2 response contribute to the initiation and maintenance of AD.;  Levels of inflammatory cytokines (IL-1β, IL-6 and TNF-α)and Th cell development cytokines (IL-2, IL-4, IL-10 and IFN-γ) in the serum also were determined by ELISA.;  Interestingly, IL-4 and IL-10 expression from Th2 cells were reduced significantly in the 10% CDSW-treated group (Figure
​(Figure7B).7B).;  IL-2, IL-4, IL-10 and IFN-γ levels in serum were determined by ELISA as described in Methods.;  A) IL-2 and IFN-γ from Th1 lymphocytes and B) IL-4 and IL-10 from Th2 lymphocytes.; It was believed that inflammatory cytokines contribute to inflammation in skin lesions in AD
[15]. T-helper cells (CD4+), a type of white blood cell, play an important role in the immune system and have two subfamilies with distinct regulatory and influencing functions, based on their cytokines: Th1 lymphocyte and Th2 lymphocyte
[39]. Th1 lymphocytes produce IFN-γ and IL-2, while Th2 lymphocytes produce IL-4 and IL-10.;  Treatment of DNCB promoted Th2 cell responses, such as IL-4 and IL-10 production.;  Overexpressed IL-4 promotes the development of AD
[40]. In our experiments, production of IL-4 and IL-10 was reduced by 10% CDSW treatment, which led to reduced serum IgE levels.",IL-4,Mg,,up-regulated
22834904,3517761," Finally, cytokines, especially IL-4 and IL-10 which are important for Th2 cell development, were reduced.;  In AD patients’ blood, IL-4 and IL-5 concentration from Th2 cells was increased and IL-4, IL-5 and IL-13 mRNA expression was significantly up-regulated in atopic skin lesions
[16,17]. However, recent studies reported that Th1 response also plays an important role in AD disease
[12]. In almost all chronic AD patients, up-regulation of the expression IFN-γ mRNA was also observed in atopic skin lesions, whereas only a few chronic AD patients had increases in the expression of IL-4 mRNA
[18,19]. Therefore, both Th1 and Th2 response contribute to the initiation and maintenance of AD.;  Levels of inflammatory cytokines (IL-1β, IL-6 and TNF-α)and Th cell development cytokines (IL-2, IL-4, IL-10 and IFN-γ) in the serum also were determined by ELISA.;  Interestingly, IL-4 and IL-10 expression from Th2 cells were reduced significantly in the 10% CDSW-treated group (Figure
​(Figure7B).7B).;  IL-2, IL-4, IL-10 and IFN-γ levels in serum were determined by ELISA as described in Methods.;  A) IL-2 and IFN-γ from Th1 lymphocytes and B) IL-4 and IL-10 from Th2 lymphocytes.; It was believed that inflammatory cytokines contribute to inflammation in skin lesions in AD
[15]. T-helper cells (CD4+), a type of white blood cell, play an important role in the immune system and have two subfamilies with distinct regulatory and influencing functions, based on their cytokines: Th1 lymphocyte and Th2 lymphocyte
[39]. Th1 lymphocytes produce IFN-γ and IL-2, while Th2 lymphocytes produce IL-4 and IL-10.;  Treatment of DNCB promoted Th2 cell responses, such as IL-4 and IL-10 production.;  Overexpressed IL-4 promotes the development of AD
[40]. In our experiments, production of IL-4 and IL-10 was reduced by 10% CDSW treatment, which led to reduced serum IgE levels.",IL-4,histamine,,up-regulated
22834904,3517761," Finally, cytokines, especially IL-4 and IL-10 which are important for Th2 cell development, were reduced.;  In AD patients’ blood, IL-4 and IL-5 concentration from Th2 cells was increased and IL-4, IL-5 and IL-13 mRNA expression was significantly up-regulated in atopic skin lesions
[16,17]. However, recent studies reported that Th1 response also plays an important role in AD disease
[12]. In almost all chronic AD patients, up-regulation of the expression IFN-γ mRNA was also observed in atopic skin lesions, whereas only a few chronic AD patients had increases in the expression of IL-4 mRNA
[18,19]. Therefore, both Th1 and Th2 response contribute to the initiation and maintenance of AD.;  Levels of inflammatory cytokines (IL-1β, IL-6 and TNF-α)and Th cell development cytokines (IL-2, IL-4, IL-10 and IFN-γ) in the serum also were determined by ELISA.;  Interestingly, IL-4 and IL-10 expression from Th2 cells were reduced significantly in the 10% CDSW-treated group (Figure
​(Figure7B).7B).;  IL-2, IL-4, IL-10 and IFN-γ levels in serum were determined by ELISA as described in Methods.;  A) IL-2 and IFN-γ from Th1 lymphocytes and B) IL-4 and IL-10 from Th2 lymphocytes.; It was believed that inflammatory cytokines contribute to inflammation in skin lesions in AD
[15]. T-helper cells (CD4+), a type of white blood cell, play an important role in the immune system and have two subfamilies with distinct regulatory and influencing functions, based on their cytokines: Th1 lymphocyte and Th2 lymphocyte
[39]. Th1 lymphocytes produce IFN-γ and IL-2, while Th2 lymphocytes produce IL-4 and IL-10.;  Treatment of DNCB promoted Th2 cell responses, such as IL-4 and IL-10 production.;  Overexpressed IL-4 promotes the development of AD
[40]. In our experiments, production of IL-4 and IL-10 was reduced by 10% CDSW treatment, which led to reduced serum IgE levels.",IL-4,pimecrolimus,,up-regulated
22834904,3517761," Finally, cytokines, especially IL-4 and IL-10 which are important for Th2 cell development, were reduced.;  In AD patients’ blood, IL-4 and IL-5 concentration from Th2 cells was increased and IL-4, IL-5 and IL-13 mRNA expression was significantly up-regulated in atopic skin lesions
[16,17]. However, recent studies reported that Th1 response also plays an important role in AD disease
[12]. In almost all chronic AD patients, up-regulation of the expression IFN-γ mRNA was also observed in atopic skin lesions, whereas only a few chronic AD patients had increases in the expression of IL-4 mRNA
[18,19]. Therefore, both Th1 and Th2 response contribute to the initiation and maintenance of AD.;  Levels of inflammatory cytokines (IL-1β, IL-6 and TNF-α)and Th cell development cytokines (IL-2, IL-4, IL-10 and IFN-γ) in the serum also were determined by ELISA.;  Interestingly, IL-4 and IL-10 expression from Th2 cells were reduced significantly in the 10% CDSW-treated group (Figure
​(Figure7B).7B).;  IL-2, IL-4, IL-10 and IFN-γ levels in serum were determined by ELISA as described in Methods.;  A) IL-2 and IFN-γ from Th1 lymphocytes and B) IL-4 and IL-10 from Th2 lymphocytes.; It was believed that inflammatory cytokines contribute to inflammation in skin lesions in AD
[15]. T-helper cells (CD4+), a type of white blood cell, play an important role in the immune system and have two subfamilies with distinct regulatory and influencing functions, based on their cytokines: Th1 lymphocyte and Th2 lymphocyte
[39]. Th1 lymphocytes produce IFN-γ and IL-2, while Th2 lymphocytes produce IL-4 and IL-10.;  Treatment of DNCB promoted Th2 cell responses, such as IL-4 and IL-10 production.;  Overexpressed IL-4 promotes the development of AD
[40]. In our experiments, production of IL-4 and IL-10 was reduced by 10% CDSW treatment, which led to reduced serum IgE levels.",IL-4,water,,up-regulated
22834904,3517761,"We elicited AD by application of DNCB (2,4-dinitro-chlorobezene) in Nc/Nga mouse dorsal skin.; Six-week old male NC/Nga mice were from SLC Inc. (Shizuoka, Japan).; The experimental schedule for the preparation of AD-like skin lesions in NC/Nga mice is summarized in Additional file
3: Figure S3.; Effect of CDSW on development of AD-like skin lesions in DNCB-treated NC/Nga mice.A) The dorsal skin of mice were shaved and were sensitized by DNCB; a. normal control, b.; The effect of CDSW on TEWL in DNCB-treated NC/Nga mice.; Change in skin epidermal thickness elicited by the repeated topical application of DNCB in NC/Nga mice.; Histopathology of skin lesions in DNCB-treated NC/Nga mice after treatment with DNCB.; CDSW inhibited IgE and histamine levels of DNCB-sensitized NC/Nga mice.; Proinflammatory cytokine production by serum prepared from NC/Nga mice.; Effect of CDSW on the levels of serum cytokine in DNCB-treated NC/Nga mice.;  Experimental schedule for the induction, treatment and evaluation of AD-like lesion in NC/Nga.",Nga,Fe,,
22834904,3517761,"We elicited AD by application of DNCB (2,4-dinitro-chlorobezene) in Nc/Nga mouse dorsal skin.; Six-week old male NC/Nga mice were from SLC Inc. (Shizuoka, Japan).; The experimental schedule for the preparation of AD-like skin lesions in NC/Nga mice is summarized in Additional file
3: Figure S3.; Effect of CDSW on development of AD-like skin lesions in DNCB-treated NC/Nga mice.A) The dorsal skin of mice were shaved and were sensitized by DNCB; a. normal control, b.; The effect of CDSW on TEWL in DNCB-treated NC/Nga mice.; Change in skin epidermal thickness elicited by the repeated topical application of DNCB in NC/Nga mice.; Histopathology of skin lesions in DNCB-treated NC/Nga mice after treatment with DNCB.; CDSW inhibited IgE and histamine levels of DNCB-sensitized NC/Nga mice.; Proinflammatory cytokine production by serum prepared from NC/Nga mice.; Effect of CDSW on the levels of serum cytokine in DNCB-treated NC/Nga mice.;  Experimental schedule for the induction, treatment and evaluation of AD-like lesion in NC/Nga.",Nga,Mg,,
22834904,3517761,"We elicited AD by application of DNCB (2,4-dinitro-chlorobezene) in Nc/Nga mouse dorsal skin.; Six-week old male NC/Nga mice were from SLC Inc. (Shizuoka, Japan).; The experimental schedule for the preparation of AD-like skin lesions in NC/Nga mice is summarized in Additional file
3: Figure S3.; Effect of CDSW on development of AD-like skin lesions in DNCB-treated NC/Nga mice.A) The dorsal skin of mice were shaved and were sensitized by DNCB; a. normal control, b.; The effect of CDSW on TEWL in DNCB-treated NC/Nga mice.; Change in skin epidermal thickness elicited by the repeated topical application of DNCB in NC/Nga mice.; Histopathology of skin lesions in DNCB-treated NC/Nga mice after treatment with DNCB.; CDSW inhibited IgE and histamine levels of DNCB-sensitized NC/Nga mice.; Proinflammatory cytokine production by serum prepared from NC/Nga mice.; Effect of CDSW on the levels of serum cytokine in DNCB-treated NC/Nga mice.;  Experimental schedule for the induction, treatment and evaluation of AD-like lesion in NC/Nga.",Nga,histamine,,
22834904,3517761,"We elicited AD by application of DNCB (2,4-dinitro-chlorobezene) in Nc/Nga mouse dorsal skin.; Six-week old male NC/Nga mice were from SLC Inc. (Shizuoka, Japan).; The experimental schedule for the preparation of AD-like skin lesions in NC/Nga mice is summarized in Additional file
3: Figure S3.; Effect of CDSW on development of AD-like skin lesions in DNCB-treated NC/Nga mice.A) The dorsal skin of mice were shaved and were sensitized by DNCB; a. normal control, b.; The effect of CDSW on TEWL in DNCB-treated NC/Nga mice.; Change in skin epidermal thickness elicited by the repeated topical application of DNCB in NC/Nga mice.; Histopathology of skin lesions in DNCB-treated NC/Nga mice after treatment with DNCB.; CDSW inhibited IgE and histamine levels of DNCB-sensitized NC/Nga mice.; Proinflammatory cytokine production by serum prepared from NC/Nga mice.; Effect of CDSW on the levels of serum cytokine in DNCB-treated NC/Nga mice.;  Experimental schedule for the induction, treatment and evaluation of AD-like lesion in NC/Nga.",Nga,pimecrolimus,,
22834904,3517761,"We elicited AD by application of DNCB (2,4-dinitro-chlorobezene) in Nc/Nga mouse dorsal skin.; Six-week old male NC/Nga mice were from SLC Inc. (Shizuoka, Japan).; The experimental schedule for the preparation of AD-like skin lesions in NC/Nga mice is summarized in Additional file
3: Figure S3.; Effect of CDSW on development of AD-like skin lesions in DNCB-treated NC/Nga mice.A) The dorsal skin of mice were shaved and were sensitized by DNCB; a. normal control, b.; The effect of CDSW on TEWL in DNCB-treated NC/Nga mice.; Change in skin epidermal thickness elicited by the repeated topical application of DNCB in NC/Nga mice.; Histopathology of skin lesions in DNCB-treated NC/Nga mice after treatment with DNCB.; CDSW inhibited IgE and histamine levels of DNCB-sensitized NC/Nga mice.; Proinflammatory cytokine production by serum prepared from NC/Nga mice.; Effect of CDSW on the levels of serum cytokine in DNCB-treated NC/Nga mice.;  Experimental schedule for the induction, treatment and evaluation of AD-like lesion in NC/Nga.",Nga,water,,
23012370,3501066,"Elastin is a common insoluble protein that is abundant in marine vertebrates, and for this reason its degradation is important for the recycling of marine nitrogen.; Elastin is used in diverse tissues that require elasticity and as such are insoluble proteins that are abundant in all higher organisms, including marine animals (1).;  Elastin is composed of cross-linked filaments (Fig. 8A).",Elastin,Ala-Ala,,
